dcr_values,nndr_values,type,round
1.8664815,0.9499858617782593,Reference,round_0
1.1360153,0.7990860342979431,Reference,round_0
0.0,1.0,Reference,round_0
0.6574995,0.895829439163208,Reference,round_0
1.4312682,0.7930521965026855,Reference,round_0
1.6380823,0.8484413623809814,Reference,round_0
0.0009765625,1.0,Reference,round_0
1.0022634,0.8771498203277588,Reference,round_0
0.0,0.0,Reference,round_0
0.3570361,0.7133270502090454,Reference,round_0
0.44521827,0.8405104279518127,Reference,round_0
1.5150422,0.9834430813789368,Reference,round_0
1.9698755,0.9434990882873535,Reference,round_0
2.5480018,0.9846522212028503,Reference,round_0
1.5121046,0.9576230645179749,Reference,round_0
0.0,1.0,Reference,round_0
1.0042443,0.5369875431060791,Reference,round_0
0.0,1.0,Reference,round_0
1.7616013,0.9789813160896301,Reference,round_0
0.27417415,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,0.0,Reference,round_0
0.4683643,0.8332600593566895,Reference,round_0
1.9828533,0.9448676109313965,Reference,round_0
0.0,1.0,Reference,round_0
0.3265138,1.0,Reference,round_0
0.33578914,1.0,Reference,round_0
0.5433252,0.8320086002349854,Reference,round_0
0.47253165,0.8029404878616333,Reference,round_0
0.9314817,0.6745043992996216,Reference,round_0
0.0,0.0,Reference,round_0
0.63523984,1.0,Reference,round_0
0.53923583,0.7735869884490967,Reference,round_0
0.76185334,0.8899139165878296,Reference,round_0
0.66756207,0.6859149932861328,Reference,round_0
0.0,1.0,Reference,round_0
0.45016247,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
1.4975044,0.9695379734039307,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.5005242,1.0,Reference,round_0
0.35078174,0.9824824929237366,Reference,round_0
0.48559514,0.9169000387191772,Reference,round_0
1.0179886,0.5234138369560242,Reference,round_0
0.0,1.0,Reference,round_0
1.5969311,1.0,Reference,round_0
0.44521827,0.999997615814209,Reference,round_0
0.0,1.0,Reference,round_0
0.35703343,1.0,Reference,round_0
1.5280904,0.9092284440994263,Reference,round_0
3.8363094,0.9964613914489746,Reference,round_0
0.0,1.0,Reference,round_0
0.8171135,0.8838719129562378,Reference,round_0
2.5694723,0.9874552488327026,Reference,round_0
0.0,1.0,Reference,round_0
0.0,0.0,Reference,round_0
1.1825055,0.5643423199653625,Reference,round_0
0.7287686,0.9999986886978149,Reference,round_0
1.0508763,0.8710795640945435,Reference,round_0
2.0256977,0.9425981044769287,Reference,round_0
0.35078037,1.0,Reference,round_0
0.50052327,0.8675156235694885,Reference,round_0
0.0,1.0,Reference,round_0
0.57311285,0.8644939661026001,Reference,round_0
2.128738,0.9310844540596008,Reference,round_0
0.0,1.0,Reference,round_0
0.0,0.0,Reference,round_0
0.85684997,1.0,Reference,round_0
0.3265138,0.7658184170722961,Reference,round_0
0.0,1.0,Reference,round_0
1.0100281,0.9929791688919067,Reference,round_0
0.0,1.0,Reference,round_0
1.3124796,0.9069494009017944,Reference,round_0
0.4532197,0.826520562171936,Reference,round_0
0.0,1.0,Reference,round_0
1.1200492,0.9630280137062073,Reference,round_0
1.1543976,0.9975770711898804,Reference,round_0
1.0317645,0.9782438278198242,Reference,round_0
0.4683648,0.9911808371543884,Reference,round_0
2.220686,0.9221094250679016,Reference,round_0
1.415734,0.8587419986724854,Reference,round_0
0.88495857,0.8747910261154175,Reference,round_0
1.4841138,0.7240127325057983,Reference,round_0
0.0,1.0,Reference,round_0
0.3265145,1.0,Reference,round_0
0.35078037,1.0,Reference,round_0
1.7408732,0.9911260604858398,Reference,round_0
0.0,1.0,Reference,round_0
0.63523984,0.8717437982559204,Reference,round_0
1.1488545,0.9574045538902283,Reference,round_0
1.5461473,0.70604008436203,Reference,round_0
2.3930619,0.8972392082214355,Reference,round_0
1.9623853,0.9812887907028198,Reference,round_0
0.0,1.0,Reference,round_0
1.8679413,0.9767077565193176,Reference,round_0
1.9609832,0.9729557633399963,Reference,round_0
0.0,0.0,Reference,round_0
0.42635873,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.4309325,0.7755401730537415,Reference,round_0
0.27417415,1.0,Reference,round_0
2.7319617,0.9674520492553711,Reference,round_0
0.0,1.0,Reference,round_0
1.1356404,0.9195314049720764,Reference,round_0
2.0891016,0.7473158836364746,Reference,round_0
0.0,1.0,Reference,round_0
1.6090336,0.9502684473991394,Reference,round_0
0.79315287,0.9035453796386719,Reference,round_0
0.44521827,0.903358519077301,Reference,round_0
0.0,1.0,Reference,round_0
1.618066,0.9989925622940063,Reference,round_0
0.0009765625,1.0,Reference,round_0
2.5238159,0.9537122845649719,Reference,round_0
0.0,1.0,Reference,round_0
0.92959005,0.7136811017990112,Reference,round_0
0.0,1.0,Reference,round_0
1.0632851,0.8755510449409485,Reference,round_0
1.2153413,0.6888399720191956,Reference,round_0
0.0,1.0,Reference,round_0
0.3265138,1.0,Reference,round_0
2.3399856,0.9574469923973083,Reference,round_0
0.0,1.0,Reference,round_0
1.8367652,0.870042622089386,Reference,round_0
1.354711,0.9277830719947815,Reference,round_0
1.5410614,0.8859357833862305,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
1.7514522,0.9267801642417908,Reference,round_0
0.0,1.0,Reference,round_0
0.35078105,0.982482373714447,Reference,round_0
0.0,1.0,Reference,round_0
0.0009765625,0.0027839280664920807,Reference,round_0
0.0,1.0,Reference,round_0
2.489322,0.9674525856971741,Reference,round_0
0.573112,0.938220202922821,Reference,round_0
0.0009765625,1.0,Reference,round_0
0.3265138,1.0,Reference,round_0
0.00069053395,0.0013796254061162472,Reference,round_0
0.35078174,0.5388786196708679,Reference,round_0
1.3495903,0.8607368469238281,Reference,round_0
0.0,1.0,Reference,round_0
2.058074,0.9475368857383728,Reference,round_0
0.94354135,0.8879698514938354,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
2.237168,0.8266046643257141,Reference,round_0
0.0,0.0,Reference,round_0
1.228629,0.7661181092262268,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
1.84651,0.9956870675086975,Reference,round_0
0.32651597,1.0,Reference,round_0
1.2337784,0.9020240902900696,Reference,round_0
0.0,1.0,Reference,round_0
1.2401744,0.8806930184364319,Reference,round_0
1.5844257,0.8246299624443054,Reference,round_0
1.9696488,0.8917373418807983,Reference,round_0
1.4348681,0.9071525931358337,Reference,round_0
0.4095466,1.0,Reference,round_0
1.6465846,0.8074817061424255,Reference,round_0
1.6148683,0.9953729510307312,Reference,round_0
0.0,1.0,Reference,round_0
3.130637,0.9695701003074646,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
1.7885603,0.7925184965133667,Reference,round_0
1.3357362,0.9132395386695862,Reference,round_0
1.6547915,0.8843507170677185,Reference,round_0
0.0,1.0,Reference,round_0
1.3701266,0.7782641053199768,Reference,round_0
2.6423652,0.7582190036773682,Reference,round_0
1.7113075,0.9602330923080444,Reference,round_0
0.0,1.0,Reference,round_0
2.2535524,0.9970657825469971,Reference,round_0
2.4010239,0.846354067325592,Reference,round_0
0.48382488,0.8268234729766846,Reference,round_0
0.76974314,0.5978853106498718,Reference,round_0
1.9528261,0.870780348777771,Reference,round_0
1.4456437,0.6447746157646179,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Reference,round_0
1.8918997,0.9736796021461487,Reference,round_0
1.5572752,0.9745999574661255,Reference,round_0
0.9397003,0.7879586219787598,Reference,round_0
1.0080855,0.9811838269233704,Reference,round_0
1.9271567,0.9600460529327393,Reference,round_0
0.0,1.0,Reference,round_0
1.7869866,0.8090407848358154,Reference,round_0
1.4599319,0.8695167899131775,Reference,round_0
0.0,0.0,Reference,round_0
2.7607124,0.9685697555541992,Reference,round_0
0.0,1.0,Reference,round_0
0.6108498,0.9186726808547974,Reference,round_0
0.0,1.0,Reference,round_0
1.8337083,0.9591894745826721,Reference,round_0
0.0,0.0,Reference,round_0
2.4284053,0.9801763296127319,Reference,round_0
0.0,1.0,Reference,round_0
0.0,1.0,Avatar,round_0
0.942917,0.7241119742393494,Avatar,round_0
0.0,1.0,Avatar,round_0
1.7447487,0.9657081961631775,Avatar,round_0
0.8590398,0.8456705212593079,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
1.3169185,0.8077384829521179,Avatar,round_0
0.35078582,0.9824939370155334,Avatar,round_0
1.140324,0.637600302696228,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.43093413,0.43312308192253113,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
1.3756757,0.999960720539093,Avatar,round_0
0.3265138,0.9723753929138184,Avatar,round_0
0.0,1.0,Avatar,round_0
1.6299586,0.9544848203659058,Avatar,round_0
0.0009765625,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
1.2546225,0.8982506990432739,Avatar,round_0
0.35078174,0.9824861884117126,Avatar,round_0
1.0079653,0.900728702545166,Avatar,round_0
0.60493535,0.4066278338432312,Avatar,round_0
1.0301675,0.5694832801818848,Avatar,round_0
1.0148646,0.6232936382293701,Avatar,round_0
1.232767,0.7762770056724548,Avatar,round_0
0.0,1.0,Avatar,round_0
0.78317696,0.5746976137161255,Avatar,round_0
0.0,1.0,Avatar,round_0
1.0920004,0.9356524348258972,Avatar,round_0
0.7583028,0.7659358978271484,Avatar,round_0
0.6500386,0.47088029980659485,Avatar,round_0
0.6352402,0.6511850357055664,Avatar,round_0
1.3014544,0.9512684345245361,Avatar,round_0
0.45016143,0.4047016501426697,Avatar,round_0
1.3390366,0.8395488262176514,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.27417415,0.2385013848543167,Avatar,round_0
1.0369217,0.9016028046607971,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0009765625,1.0,Avatar,round_0
0.0,0.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.3265138,0.9723753929138184,Avatar,round_0
0.0,0.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0009765625,0.0027839280664920807,Avatar,round_0
0.0,1.0,Avatar,round_0
0.84720385,0.4923400580883026,Avatar,round_0
1.4237144,0.8628882169723511,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0009765625,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.0,1.0,Avatar,round_0
0.9408347,0.47635093331336975,Avatar,round_0
0.87036103,0.7605510354042053,Avatar,round_0
1.2757689,0.7875569462776184,Avatar,round_0
1.0401598,0.8430870175361633,Avatar,round_0
0.0,1.0,Avatar,round_0
2.0136576,0.9761363863945007,Avatar,round_0
0.94102526,0.9691370725631714,Avatar,round_0
1.1850891,0.7708767056465149,Avatar,round_0
0.0,1.0,Avatar,round_0
1.07879,0.7818045020103455,Avatar,round_0
1.8987418,0.9649295210838318,Avatar,round_0
0.33578986,1.0,Avatar,round_0
0.0009765625,1.0,Avatar,round_0
1.5078948,0.8022336959838867,Avatar,round_0
0.5576497,0.9350796937942505,Avatar,round_0
0.0009765625,1.0,Avatar,round_0
1.8116895,0.8962345123291016,Avatar,round_0
