,acc_data_50,acc_data_70,acc_data_80,acc_avat_50,acc_avat_70,acc_avat_80
1_vars,90.64327485380117,90.2439024390244,91.97080291970804,92.98245614035088,93.17073170731707,91.24087591240875
2_vars,93.27485380116958,94.14634146341463,95.62043795620438,95.02923976608187,95.60975609756098,93.43065693430657
3_vars,94.73684210526315,95.60975609756098,94.8905109489051,96.78362573099415,97.5609756097561,96.35036496350365
4_vars,95.32163742690058,94.14634146341463,96.35036496350365,96.78362573099415,98.53658536585365,97.08029197080292
5_vars,95.90643274853801,92.6829268292683,95.62043795620438,97.07602339181285,99.02439024390245,97.8102189781022
6_vars,96.49122807017544,96.09756097560975,95.62043795620438,97.07602339181285,98.04878048780488,97.8102189781022
7_vars,95.02923976608187,95.60975609756098,96.35036496350365,96.49122807017544,98.04878048780488,97.8102189781022
8_vars,95.6140350877193,96.09756097560975,96.35036496350365,96.78362573099415,97.5609756097561,97.08029197080292
9_vars,96.19883040935673,96.09756097560975,95.62043795620438,96.78362573099415,97.5609756097561,97.8102189781022
