"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
6,57,8,2,8,959
39,22,134,10,70,33
4,44,69,195,551,710
3,246,297,9,201,29
4,235,334,43,399,131
2,434,57,80,483,352
2,12,22,682,258,59
2,100,52,216,25,9
1,11,92,251,201,69
4,3,67,647,806,894
60,434,280,355,28,1255
21,4,346,533,108,105
10,14,143,60,1085,281
12,50,263,3,632,610
1,31,86,128,135,62
14,28,109,974,142,806
64,176,332,59,1249,877
68,253,162,169,70,301
5,75,30,235,186,507
11,101,33,538,709,24
12,109,83,66,129,66
2,108,258,521,80,748
8,128,571,73,364,338
45,9,317,631,892,48
5,361,72,370,728,703
6,9,157,69,945,68
15,252,344,170,484,1437
90,31,748,186,19,180
1,121,102,52,985,906
5,428,4,383,434,369
4,148,210,39,35,621
6,650,13,299,1036,216
13,11,22,363,98,1054
1,129,141,135,100,272
30,17,132,146,7,149
0,53,12,499,29,884
1,97,57,491,950,969
11,24,57,68,15,334
2,39,212,11,516,485
2,237,293,135,843,763
6,20,365,268,749,35
17,318,86,37,281,815
20,35,41,217,137,1164
2,44,51,337,258,100
16,196,258,509,396,963
26,194,70,578,922,593
13,59,120,251,227,97
16,487,286,173,316,691
5,15,97,230,222,27
19,69,424,137,280,21
1,6,20,258,34,213
60,2,86,666,965,1086
2,102,149,4,924,30
1,1,79,505,1032,109
12,24,12,30,225,1497
2,177,31,646,164,529
15,10,366,178,172,60
63,41,243,158,637,667
46,92,813,5,63,40
5,18,268,353,4,105
3,136,20,232,212,91
2,21,31,283,203,395
2,19,47,504,61,40
9,120,210,536,621,39
32,37,34,129,109,379
4,23,50,578,204,33
5,146,184,418,54,9
17,9,36,29,168,295
42,33,216,14,52,43
7,28,10,364,285,438
14,41,144,226,489,542
2,13,111,195,301,10
2,108,56,421,39,92
1,8,391,33,624,886
4,12,4,76,172,925
13,57,232,549,1167,223
76,385,319,29,718,771
9,75,555,255,149,1340
45,170,382,366,26,114
4,209,62,17,277,20
40,159,161,971,285,376
92,7,428,127,454,31
123,183,142,180,372,837
3,121,212,294,287,768
7,42,492,573,238,292
1,92,122,37,7,182
31,16,365,687,312,210
45,14,499,64,311,474
17,25,33,43,361,1213
48,11,98,170,61,112
1,524,278,2,1341,1097
2,201,7,209,125,208
13,46,542,278,988,59
4,19,1,446,27,693
17,155,115,97,412,301
6,255,53,392,677,448
2,53,332,296,188,313
1,75,95,239,894,223
25,125,196,58,183,1033
1,60,45,49,814,612
2,45,508,361,397,141
5,53,7,62,173,103
17,56,590,121,299,440
21,89,48,707,442,608
41,22,18,484,242,143
2,4,37,520,620,643
6,21,203,277,408,854
5,10,43,49,416,177
7,275,183,286,444,448
2,340,102,31,27,163
13,30,182,43,274,222
6,333,38,313,144,664
1,127,179,979,421,522
7,26,403,26,1133,448
2,48,823,135,1312,370
7,26,699,219,1103,632
47,41,77,185,615,148
1,489,594,1232,341,103
12,90,474,128,121,10
4,4,9,796,557,530
66,42,167,506,62,544
37,23,138,348,30,53
27,26,4,14,520,287
2,80,276,179,154,65
34,155,196,39,255,664
6,17,261,1951,263,42
11,89,65,4,163,984
38,497,569,72,533,403
16,202,157,93,520,122
2,46,196,288,199,225
1,55,152,177,22,362
7,227,37,13,1014,683
56,152,148,154,227,730
22,1697,374,814,30,106
162,10,13,390,203,176
6,28,7,67,177,10
5,23,123,526,328,52
6,105,27,130,212,118
19,34,623,7,51,158
6,59,147,79,54,92
24,495,42,28,1015,1007
3,27,5,38,611,136
5,22,236,101,265,148
8,40,6,189,214,1064
34,33,174,295,93,165
3,377,4,797,64,92
5,84,643,346,835,976
6,84,40,640,310,1091
9,2,90,646,1283,504
4,591,17,198,309,33
27,75,110,637,141,434
2,3,78,85,912,626
2,40,16,104,54,1122
37,18,42,123,347,67
0,20,211,452,203,844
117,124,625,113,402,382
62,147,178,865,276,268
3,36,134,847,23,159
7,401,80,181,981,93
23,28,60,32,465,649
12,18,20,600,395,2
109,3,64,455,1137,226
13,1,490,937,945,241
4,17,210,426,753,708
21,525,29,845,231,1155
13,4,300,479,1027,368
27,9,261,302,667,635
83,114,31,58,518,929
3,21,199,227,62,153
2,88,282,327,1059,49
4,2,169,29,160,764
0,46,6,46,649,219
22,145,75,743,298,1153
14,71,363,622,767,294
23,6,119,498,324,929
4,76,31,59,107,40
6,406,384,827,13,755
61,11,796,42,41,92
4,64,671,161,1010,356
76,232,178,51,806,676
13,9,132,23,101,496
3,35,1,508,1546,479
82,236,39,822,759,66
9,24,13,180,358,22
6,248,574,255,708,1120
11,294,456,83,165,417
7,24,29,144,103,483
2,26,160,9,512,399
7,113,41,181,483,88
3,131,40,352,945,96
22,36,33,259,56,237
1,54,120,329,230,274
29,622,147,424,1509,966
4,45,40,45,13,66
2,24,336,62,417,77
1,91,39,266,258,417
21,48,129,161,544,645
12,86,13,61,62,66
4,47,271,186,331,336
4,7,232,376,580,856
4,93,176,305,29,28
6,50,112,124,932,309
10,145,37,468,40,157
16,170,138,259,567,590
1,99,268,416,337,180
4,13,204,187,21,2
1,32,82,136,44,146
4,247,255,637,107,505
92,3,126,158,761,111
4,304,271,530,28,818
8,38,105,8,1383,947
40,42,124,1,150,1521
1,34,133,202,607,24
5,21,46,393,147,441
45,138,58,106,49,1119
1,287,93,331,696,1304
46,334,185,478,59,371
1,23,127,167,7,881
5,7,96,16,11,116
90,113,599,405,14,485
3,7,103,206,304,377
76,177,44,119,268,369
6,58,75,889,146,359
4,173,329,9,380,193
2,834,566,155,7,262
1,49,171,418,337,299
0,65,247,58,42,1
9,89,222,101,303,170
3,37,221,225,21,69
27,90,361,35,77,449
30,197,2,43,21,59
10,37,133,28,893,784
7,196,110,48,250,642
3,341,275,340,666,714
1,90,329,266,646,1073
10,2,102,568,212,480
2,207,53,117,671,94
20,113,53,53,54,431
4,45,327,6,469,851
32,82,485,12,24,485
3,32,644,96,66,156
7,26,84,300,2,462
3,72,175,14,242,538
2,7,40,61,77,81
7,223,105,310,733,874
2,25,50,665,820,5
13,169,165,652,739,1361
2,14,74,1,211,565
34,391,510,111,208,236
20,38,452,410,221,378
12,18,59,110,895,618
23,481,77,602,132,300
11,170,56,1051,725,621
21,19,283,371,1105,556
1,169,469,250,216,409
6,4,112,333,213,163
9,12,181,173,477,1116
2,639,15,28,1026,801
1,58,228,499,20,421
16,134,27,172,292,96
33,101,45,311,314,416
10,20,28,86,499,743
6,96,262,176,851,245
1,82,30,884,330,1130
4,183,29,19,571,407
72,3,189,95,43,274
4,77,198,681,528,277
8,715,199,50,438,1045
30,171,9,49,267,127
6,454,154,453,157,32
1,132,47,195,761,56
11,1,36,63,257,172
2,78,136,152,10,207
120,242,16,360,23,207
39,3,190,767,90,1039
7,332,132,1118,281,94
1,13,41,256,54,408
50,97,362,18,648,1629
13,39,321,585,21,458
1,73,251,1105,353,49
92,10,622,432,190,268
9,12,197,124,847,1317
4,60,460,627,512,86
7,338,219,518,194,236
10,99,121,107,1255,396
21,370,1049,848,24,164
24,489,411,67,297,974
2,165,108,110,614,241
21,20,68,268,526,45
8,13,553,345,613,387
5,21,115,38,527,1005
33,33,595,146,1158,8
26,23,49,235,798,307
4,155,649,60,14,225
13,78,111,44,671,77
19,35,204,19,64,141
3,84,27,678,688,818
12,592,238,344,364,1742
52,225,179,386,181,622
10,2,24,50,15,891
16,84,186,43,82,811
26,450,723,1,611,551
25,44,14,396,22,266
6,53,65,697,508,872
58,24,198,54,160,459
3,88,788,134,367,90
8,68,85,207,279,509
387,385,215,117,35,724
2,155,268,665,221,327
2,6,5,568,235,175
6,22,536,171,13,152
9,131,19,107,286,98
9,345,80,241,71,818
8,253,60,314,292,730
0,97,506,402,385,184
3,114,2,478,94,75
3,175,106,174,630,500
4,32,209,128,755,426
10,1,270,153,173,932
31,467,53,263,293,57
18,26,34,157,166,781
1,69,452,120,1024,499
14,113,753,345,101,28
2,103,121,256,82,63
82,534,104,114,963,640
4,220,219,39,1737,4
35,91,21,119,8,54
40,125,131,758,316,465
111,218,593,317,134,238
7,18,152,83,626,81
15,112,334,200,525,523
3,31,422,312,207,18
5,52,602,31,708,864
10,255,222,4,13,473
22,31,58,356,225,859
2,289,102,3,218,1178
8,61,82,530,251,1701
