"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
2,176,60,460,1337,466
56,74,109,351,514,477
7,88,154,558,63,203
4,474,68,688,689,1388
22,523,443,318,185,798
3,9,470,63,243,921
32,199,385,74,66,338
3,39,83,377,244,16
1,339,458,293,2,137
2,306,674,297,1222,805
9,384,266,19,386,334
14,109,175,116,387,75
58,96,5,5,251,1226
29,517,260,182,1287,687
9,55,32,21,1553,587
10,509,580,80,463,844
18,34,115,3,168,473
4,4,283,493,151,170
69,14,332,51,939,763
15,194,916,41,35,966
3,94,117,66,5,593
15,463,169,654,37,547
63,66,146,304,119,169
2,120,42,783,297,495
536,410,374,291,123,2
5,7,44,11,555,704
1,157,73,352,36,859
23,61,11,108,10,357
11,334,41,195,148,288
4,50,425,802,1576,17
53,178,37,10,862,507
15,152,25,39,141,40
3,81,83,89,312,355
2,203,26,28,277,438
2,103,205,475,43,164
6,35,24,169,221,654
2,17,7,94,709,532
6,22,489,276,347,1123
32,216,13,910,150,129
1,132,135,195,34,796
9,51,93,598,857,908
31,241,493,622,157,31
8,31,18,243,17,54
2,5,87,14,34,11
54,99,175,1275,96,1227
1,1,1372,123,227,371
5,20,133,45,44,123
1,1,19,217,295,434
1,273,257,674,538,13
1,112,28,509,300,121
19,55,270,221,297,199
3,61,413,23,646,756
25,202,16,542,161,116
2,244,5,240,110,1469
8,50,318,1,834,13
46,105,60,2,226,134
1,149,850,992,56,1407
57,233,24,77,4,149
2,93,68,4,879,51
5,39,361,446,173,30
17,40,26,118,336,17
39,222,158,1219,138,520
5,243,29,105,94,277
21,1,49,16,16,500
3,172,157,22,513,104
6,197,51,49,256,31
0,120,26,480,339,915
0,181,240,520,309,352
1,46,208,149,379,301
5,29,206,65,365,348
6,18,148,50,57,406
17,79,265,1,31,191
6,15,4,422,30,35
4,215,127,410,102,209
6,171,6,158,737,288
0,31,233,327,124,864
30,112,15,469,3,41
38,34,59,178,137,739
1,67,522,249,140,428
2,16,565,136,31,519
26,87,33,41,13,41
12,82,90,22,516,622
2,204,729,253,175,282
39,40,15,437,372,821
12,259,156,89,552,226
1,14,9,305,95,1315
7,223,414,46,589,551
5,47,225,405,43,672
72,317,427,790,374,606
3,324,57,23,2,16
30,42,59,160,95,129
2,42,508,155,156,170
23,98,267,983,901,502
2,103,129,136,182,44
24,19,183,266,982,642
1,46,8,288,18,132
5,12,118,329,98,561
8,534,78,1151,191,785
8,193,34,568,405,458
10,119,47,46,31,139
34,25,117,477,427,710
11,65,5,231,2,796
1,142,145,877,1010,819
80,7,270,263,107,75
43,2,173,439,635,563
29,40,346,35,58,848
2,32,243,282,145,100
118,4,292,326,728,235
6,44,124,81,40,33
3,442,181,89,83,570
1,198,33,151,72,1105
10,127,410,344,566,314
1,297,606,47,447,390
2,91,45,35,2,318
24,60,412,809,164,673
119,113,489,347,177,194
2,7,116,144,288,62
4,0,58,125,994,219
5,245,26,38,407,449
4,61,38,443,339,603
8,160,8,306,273,788
13,98,100,381,423,2
1,15,62,319,1523,680
12,36,38,20,202,786
2,19,1,32,2,559
5,286,157,618,290,378
1,43,15,114,87,179
21,3,191,457,264,460
51,44,112,161,88,527
7,416,536,614,44,420
1,4,1044,881,375,32
8,158,122,216,333,334
17,2,72,143,231,42
4,31,25,355,83,865
2,3,156,25,502,527
11,80,33,480,442,316
2,197,252,258,1163,1277
18,189,215,136,24,1645
1,288,175,29,168,573
1,35,55,713,325,548
17,12,199,97,845,950
111,180,303,106,274,774
4,38,43,43,443,455
42,65,187,94,271,84
10,8,318,471,100,273
3,70,100,710,34,120
27,56,34,241,24,123
17,12,8,76,184,1060
18,230,279,412,632,86
1,4,52,742,43,632
23,66,771,455,931,314
2,9,36,87,33,6
6,7,106,465,4,514
3,772,57,739,391,1481
50,187,264,143,40,423
25,224,87,240,356,885
3,0,501,68,341,160
22,6,407,281,258,65
0,156,55,1578,449,112
98,8,5,563,163,11
11,299,60,178,414,912
5,60,532,234,1514,464
61,213,31,211,540,525
0,83,14,70,1179,494
14,127,75,447,606,325
3,92,120,712,811,573
2,418,191,988,273,525
2,17,113,92,280,319
38,69,269,172,1302,18
2,18,78,513,12,93
9,115,585,17,476,77
33,76,89,206,162,201
2,12,146,30,387,603
95,613,627,149,765,1272
13,4,345,36,418,393
2,16,524,107,237,1424
3,94,54,86,225,678
3,24,110,605,102,316
20,370,500,161,868,796
208,22,184,10,376,323
10,15,248,745,617,511
1,131,59,635,675,922
63,22,390,237,40,1016
2,80,29,0,670,152
12,60,474,265,460,215
1,16,54,51,78,561
2,79,611,989,158,763
1,5,388,453,13,314
12,134,84,37,190,686
36,69,71,153,99,175
91,33,142,545,19,678
14,61,227,309,274,142
78,68,24,78,52,223
10,205,57,1,88,924
71,6,796,143,219,769
1,280,56,69,37,2
8,2,56,156,329,632
98,310,266,161,772,155
72,66,203,612,747,312
1,19,179,9,187,87
4,114,231,4,246,363
3,71,188,293,267,124
4,117,527,14,147,351
1,11,89,154,567,266
14,546,943,247,225,779
17,276,174,393,292,540
1,11,116,15,976,428
16,4,30,88,393,273
3,65,17,797,438,1039
13,15,5,89,579,602
14,35,32,107,143,851
0,601,355,24,326,447
9,16,586,67,15,756
11,194,340,149,81,734
1,109,9,139,118,317
4,34,88,66,614,470
1,256,273,110,15,312
19,164,645,193,209,425
6,541,76,173,921,196
1,162,367,360,637,279
3,54,346,524,475,249
3,146,23,22,478,1309
1,67,140,929,216,723
11,51,92,231,118,547
8,53,114,185,233,227
3,135,542,969,102,413
46,323,280,432,421,761
2,13,436,167,17,319
0,24,32,915,454,77
3,235,182,12,198,1656
3,44,70,235,207,191
13,0,56,674,436,61
2,6,398,3,26,513
87,253,91,587,78,559
1,39,73,959,1578,603
10,9,11,377,401,321
2,5,37,23,1238,1539
18,103,2,382,117,710
40,10,410,483,326,533
16,52,1040,512,38,116
3,104,62,26,146,1007
25,110,7,687,567,872
60,6,30,655,68,222
4,59,143,625,293,969
32,48,20,368,43,254
2,4,245,482,158,117
7,6,121,62,297,908
33,547,59,65,6,154
3,99,544,291,285,465
5,14,385,51,304,488
13,48,13,2,1883,269
1,74,186,63,139,124
16,116,19,10,858,261
2,568,49,20,1146,30
1,235,25,44,180,986
9,8,372,324,200,467
8,74,4,369,128,5
47,184,470,423,560,77
25,5,507,566,53,579
38,126,52,713,426,148
3,116,114,159,958,363
16,5,95,419,513,271
25,31,521,125,54,224
2,586,176,108,623,1455
30,78,45,620,350,339
3,73,465,262,1396,1591
8,291,95,670,16,167
3,116,213,44,184,304
1,24,30,286,65,828
20,43,13,48,54,730
2,224,174,164,71,306
6,46,20,270,162,61
9,717,132,121,1753,959
11,407,182,121,215,520
1,36,63,315,465,237
16,444,211,932,650,504
2,28,54,579,265,1466
18,3,356,1039,1182,759
2,37,948,426,77,738
0,32,50,993,580,54
0,65,9,31,36,400
2,189,569,522,204,5
1,17,96,74,572,181
12,145,15,17,685,1294
2,54,90,248,118,1468
5,102,39,13,128,8
7,4,168,169,359,346
4,55,49,102,724,39
22,4,202,38,348,655
4,73,49,160,714,1
3,1,454,260,189,334
17,214,54,209,90,238
7,7,272,538,251,80
5,123,81,1,1,59
6,88,146,1071,459,505
0,3,198,676,985,1344
11,13,174,865,307,151
8,38,3,287,21,381
30,401,84,364,807,507
7,427,136,14,509,27
4,3,105,451,1282,408
4,100,666,93,359,252
2,177,236,163,49,237
54,55,19,629,814,150
4,93,762,1205,267,957
1,10,767,51,134,408
67,33,1,293,86,91
4,215,16,24,901,432
2,261,147,240,26,251
15,513,144,10,357,254
6,482,123,571,319,949
8,206,193,10,116,396
6,6,35,474,403,340
2,43,313,105,28,295
0,93,274,129,967,1125
3,24,61,573,34,41
10,493,178,657,544,1415
2,182,48,173,71,1123
4,222,118,111,247,414
7,213,87,128,66,140
4,26,31,104,432,1791
39,29,163,149,11,686
8,109,78,461,510,25
171,422,757,137,377,302
82,29,420,414,400,1036
2,4,28,85,383,215
21,135,391,329,231,639
88,6,313,787,280,181
19,52,91,13,215,893
4,248,191,143,835,196
7,255,1,489,1171,1119
74,182,152,70,65,1198
4,58,336,151,866,157
8,7,215,20,529,2
34,0,11,82,327,907
5,168,5,226,235,1435
5,693,220,363,740,961
0,575,42,121,67,865
19,573,588,96,164,1029
31,99,173,65,759,107
2,83,69,1100,1275,175
46,81,135,420,236,772
2,18,1104,27,221,18
3,212,413,265,226,717
84,360,224,255,591,481
5,418,742,227,712,1098
24,64,185,964,6,1228
178,125,210,285,1065,214
5,142,721,25,264,120
23,275,57,318,852,917
14,52,24,266,150,145
1,154,181,73,320,1601
2,81,551,85,46,157
4,3,169,286,24,1336
7,110,431,285,618,299
4,36,44,282,616,426
15,21,70,128,124,104
96,274,337,374,954,550
2,123,13,26,638,231
3,9,222,122,8,15
5,22,111,72,164,81
1,132,113,478,275,548
4,417,263,49,2,378
1,24,120,184,327,493
2,1,376,477,632,36
9,377,29,121,606,170
11,110,89,39,948,268
14,589,19,443,132,9
17,221,387,223,642,25
1,60,17,109,18,67
1,73,178,109,886,1167
2,51,409,62,308,791
3,11,108,651,108,594
6,66,277,228,808,515
69,209,38,923,108,483
14,72,568,65,114,215
3,98,64,72,116,221
1,20,14,29,848,372
3,315,180,182,196,10
5,171,446,131,168,1315
34,40,35,88,214,172
18,22,505,1315,123,233
2,266,136,16,191,349
67,491,181,199,244,390
1,125,59,175,142,426
14,75,178,238,382,353
1,24,45,68,533,104
8,14,235,122,81,403
2,8,420,291,463,643
3,76,255,723,51,864
15,88,13,39,6,31
1,447,377,1015,1192,948
8,76,146,1167,130,674
6,64,52,310,220,1276
1,122,369,510,522,542
10,150,37,456,81,155
66,42,132,273,201,730
3,63,359,141,1124,59
2,13,14,137,10,371
2,509,611,469,514,592
26,113,190,456,625,427
15,33,159,433,468,437
11,100,205,546,845,620
7,22,88,122,1514,13
28,19,46,15,230,132
8,189,783,383,60,192
15,236,166,1022,394,263
9,208,279,60,19,483
11,112,307,621,4,120
2,2,62,114,56,605
6,257,30,617,362,368
16,82,519,297,128,211
25,54,4,298,47,122
21,27,34,800,354,1236
11,28,9,625,239,389
15,49,42,83,254,11
25,59,311,285,14,248
1,36,89,167,124,23
21,297,667,9,515,21
18,106,279,1122,145,250
1,6,178,844,582,33
66,146,223,1706,719,671
5,241,219,222,209,1015
2,237,333,184,1179,333
80,2,227,31,387,519
5,202,166,669,1219,669
12,59,402,73,610,337
25,281,364,535,14,63
12,26,1408,118,498,290
38,10,794,309,677,89
2,43,326,94,201,1040
3,179,11,83,556,559
1,109,56,87,461,66
12,269,453,310,265,522
17,823,5,527,137,717
5,68,125,414,415,402
2,3,41,382,39,82
2,84,5,421,190,387
6,39,309,939,365,1040
33,31,229,4,58,134
5,328,54,954,1068,139
1,1,42,395,988,1133
4,4,42,193,311,581
13,241,105,314,190,1359
9,122,9,604,641,10
2,415,562,61,59,203
6,31,29,344,94,54
1,405,44,483,247,223
1,74,179,74,307,124
50,7,223,73,875,162
7,91,25,39,346,29
5,745,78,138,101,145
16,93,75,60,697,39
1,62,505,3,283,248
26,120,467,93,225,440
9,413,217,729,399,11
1,10,285,40,700,164
3,31,37,95,232,734
2,9,4,305,77,253
13,484,50,44,53,486
10,68,764,679,532,556
17,71,250,173,148,1240
8,2,60,63,36,167
3,15,115,3,887,1411
25,45,753,2074,493,1551
3,70,335,240,107,12
6,15,14,119,445,1592
1,44,193,119,303,477
4,34,35,336,1,98
1,262,275,22,1022,108
10,31,15,21,453,96
80,68,33,178,770,327
6,156,23,32,552,1
9,261,533,561,600,54
0,2,73,86,536,13
6,27,110,548,198,1
4,131,2,86,453,601
2,258,672,14,402,270
6,95,20,34,673,125
28,34,33,250,354,398
3,0,182,331,182,392
3,8,605,513,352,9
3,82,63,672,65,57
24,12,127,180,490,932
9,49,11,148,353,518
3,731,297,171,136,541
0,354,69,184,188,914
4,40,42,584,36,1406
1,72,521,123,236,141
49,46,71,354,718,41
10,5,748,29,383,806
8,215,155,22,1376,425
1,23,95,195,169,438
7,148,41,657,120,441
1,29,352,46,60,3
51,48,215,55,49,47
12,160,230,106,61,409
2,8,1645,947,166,689
17,153,85,77,250,109
3,102,14,203,921,35
1,21,280,889,793,754
4,413,198,101,257,128
7,298,235,214,171,250
2,211,18,59,285,681
13,220,908,590,14,691
2,12,38,151,54,160
4,74,5,153,363,56
6,155,71,580,133,397
8,73,351,138,45,928
21,10,274,342,349,1639
3,218,63,149,411,101
3,186,179,807,183,24
9,198,828,9,103,432
2,207,19,61,333,37
2,30,234,95,749,151
3,126,56,82,68,163
6,27,304,618,258,95
5,118,13,122,723,31
2,278,320,335,1201,758
22,136,20,226,70,620
0,100,56,28,69,1046
5,2,302,11,234,722
2,304,62,37,244,820
8,18,13,821,261,86
47,114,102,110,534,19
4,637,9,64,504,264
2,70,56,5,101,164
12,73,220,89,13,429
11,107,770,294,143,414
25,57,246,178,847,483
32,129,128,338,231,455
3,236,13,298,140,565
9,286,285,461,713,322
15,662,146,40,1152,117
3,11,4,209,714,1
5,23,252,246,3,879
10,11,60,133,6,2
14,197,2,317,814,506
2,257,76,53,33,196
5,18,10,583,34,71
1,88,31,10,320,369
1,107,70,12,33,605
3,147,51,28,132,297
13,143,349,25,1177,287
10,211,96,286,778,608
13,78,231,82,239,967
4,32,264,440,440,287
12,34,26,211,201,201
3,23,179,248,783,18
89,47,662,858,766,56
144,4,29,221,255,398
18,400,861,13,372,40
66,173,1,209,68,232
4,26,43,105,123,31
40,192,188,635,1212,212
3,18,2,464,36,677
1,106,88,586,335,101
15,65,73,33,1211,31
109,336,264,418,96,841
12,659,236,9,6,177
50,628,298,18,44,335
8,1,224,300,180,1334
14,124,49,276,266,43
5,175,115,59,197,192
92,225,72,406,307,387
3,16,512,48,10,161
3,115,47,293,459,34
1,46,5,128,699,25
1,175,305,10,52,55
6,62,87,190,442,534
4,5,117,393,806,209
56,421,126,1285,1178,546
27,5,200,218,33,595
3,54,113,369,1126,515
72,45,370,22,302,188
4,48,270,34,41,960
8,72,189,475,495,304
6,325,15,1312,777,1580
5,31,90,602,122,456
36,74,374,1,1065,124
2,70,321,325,344,834
6,45,48,529,1265,1974
4,317,508,501,91,457
11,213,182,539,48,141
8,49,44,45,32,561
10,29,503,66,402,583
11,14,229,29,29,356
1,12,278,988,175,374
22,247,49,409,680,130
7,8,49,66,17,105
7,36,97,102,3,843
42,309,200,93,1897,915
1,47,328,149,743,167
25,38,13,134,178,43
3,13,60,592,493,722
10,303,418,247,88,163
1,30,1,0,69,6
1,328,498,120,113,796
45,62,39,51,249,1343
3,351,66,514,367,1391
2,39,134,531,44,95
2,10,355,162,320,1080
5,461,176,347,316,45
4,164,225,29,100,23
9,216,185,41,92,26
4,116,33,197,4,103
9,45,279,15,85,1297
9,37,169,148,551,13
4,345,111,184,768,136
8,171,58,252,650,86
3,37,166,49,37,187
32,442,69,38,466,915
2,69,127,424,157,232
7,262,894,501,605,77
25,9,312,593,55,1255
1,60,78,119,360,69
0,59,2,18,125,1249
56,177,202,294,191,822
61,61,266,711,384,63
5,28,407,162,8,566
3,182,511,715,396,214
9,56,454,199,1133,391
11,22,275,549,288,859
8,108,2,120,81,929
13,2,192,270,358,874
26,26,63,147,760,277
23,105,406,35,284,67
0,102,6,3,824,447
6,21,165,15,263,21
3,237,321,474,3,473
0,25,15,157,76,52
1,38,42,370,917,39
2,13,36,67,623,57
13,67,173,19,235,443
4,44,98,137,532,12
9,73,264,264,175,360
34,48,405,64,178,211
2,68,366,515,180,373
21,43,27,64,13,242
2,28,195,404,406,410
147,3,238,93,451,1143
5,15,6,35,86,72
18,14,34,841,171,191
11,322,26,179,141,31
2,107,289,217,20,441
31,123,42,119,205,2
15,13,25,421,404,316
10,165,89,180,670,1116
3,90,8,65,197,93
29,36,26,165,257,18
1,233,41,396,1729,69
5,50,24,153,295,31
1,102,281,269,670,1462
60,7,528,18,192,1199
54,122,320,223,34,847
25,132,874,128,401,202
2,70,779,376,1784,248
7,48,273,486,259,858
10,23,204,155,269,640
5,23,113,423,720,144
24,7,199,479,7,419
32,68,142,2,76,246
8,175,115,268,673,91
1,490,105,257,671,85
28,95,426,213,120,187
6,76,439,207,581,358
3,20,370,273,198,493
24,344,46,619,6,463
7,63,162,50,805,370
2,280,393,432,47,771
13,11,18,11,23,127
6,7,7,180,1005,3
2,11,21,145,687,509
39,332,358,486,12,841
7,43,42,776,270,50
2,50,444,437,94,52
2,178,173,407,844,11
5,32,80,434,748,1266
20,165,317,12,425,545
2,10,252,119,124,43
0,211,123,643,82,723
1,655,181,813,139,531
8,115,8,22,363,12
2,40,26,422,964,41
144,417,290,1256,750,39
5,154,895,48,437,567
2,8,32,499,430,513
25,59,36,649,463,781
1,103,240,718,74,304
9,206,39,350,96,105
98,75,246,207,614,747
4,53,13,24,1010,119
2,122,28,56,454,741
7,83,61,33,118,796
13,32,187,273,84,27
1,88,671,176,350,749
1,39,3,266,206,164
3,104,90,101,394,781
4,82,308,797,721,955
28,21,224,105,59,36
13,175,316,301,559,1116
23,262,653,195,309,399
12,57,226,859,650,205
11,26,198,37,556,165
4,300,328,167,597,190
5,124,36,281,1451,67
3,179,23,157,448,14
35,207,52,123,31,878
6,15,196,591,235,473
18,10,180,6,773,145
18,96,82,922,949,303
14,198,283,222,680,145
4,18,19,453,195,29
2,55,132,298,465,291
6,65,326,9,155,1355
3,121,37,188,56,115
14,587,127,420,964,78
3,322,322,91,139,132
14,154,56,173,53,727
43,43,56,162,227,182
9,546,153,18,631,75
10,58,168,304,61,449
5,121,994,48,767,24
6,2,55,949,370,700
7,6,94,195,107,436
19,95,362,406,706,264
3,224,207,250,742,469
4,123,56,111,13,207
3,23,15,5,58,40
18,116,51,349,294,172
1,21,195,463,207,884
8,15,24,4,19,69
12,25,65,1,675,487
5,3,43,1311,983,382
5,405,319,40,80,27
9,28,300,155,567,921
20,6,6,21,341,304
11,15,254,4,32,553
1,39,86,192,68,665
8,74,34,438,204,84
4,52,118,520,364,1158
1,209,122,254,49,1112
5,484,941,5,282,212
4,413,872,400,251,2
38,415,349,892,61,51
14,337,300,645,523,686
2,500,249,132,964,310
3,23,190,176,295,165
23,379,226,332,295,976
5,595,2,154,106,740
8,38,442,389,287,274
5,20,11,69,972,16
4,252,207,76,145,242
3,0,516,44,1212,700
7,20,318,23,41,216
0,44,30,45,437,4
7,70,59,159,8,838
25,68,406,116,546,121
4,179,204,12,613,452
4,74,230,178,420,21
2,4,87,547,136,926
4,45,908,44,338,167
30,10,146,115,493,544
2,1,66,222,165,128
20,36,63,22,177,45
6,68,643,80,269,157
85,152,4,86,352,14
1,51,190,360,156,19
1,118,390,617,651,1080
50,353,143,108,388,368
2,229,66,180,51,248
0,42,64,752,481,579
5,69,478,202,1174,51
1,145,37,91,46,513
16,231,279,4,484,141
55,47,856,167,15,885
31,77,483,71,554,434
0,188,203,742,97,54
7,20,47,610,66,50
24,27,30,89,702,48
1,107,19,46,595,146
31,63,20,247,32,208
1,54,446,107,411,257
36,8,36,111,34,46
58,75,289,594,267,342
2,25,99,476,73,257
23,104,74,220,940,14
13,113,210,73,567,281
7,135,128,64,9,218
19,8,31,76,594,559
18,565,45,68,156,440
1,154,248,244,519,352
1,69,461,495,54,180
31,31,18,33,246,526
77,319,691,43,790,816
2,16,224,14,177,29
11,129,11,645,52,179
24,26,67,219,1,129
4,436,499,533,73,1088
6,1,121,281,138,1021
2,7,52,261,569,868
1,5,136,990,480,65
7,2,16,33,137,202
45,83,217,378,584,544
4,24,139,474,0,81
3,222,278,169,284,482
11,5,247,596,97,237
83,96,205,329,60,22
2,185,544,86,446,137
16,39,223,683,452,112
4,30,78,41,2,688
25,16,11,16,68,607
3,100,38,133,152,20
2,947,78,57,110,1443
25,17,85,1140,190,97
10,535,45,269,327,209
2,188,81,27,484,37
1,329,11,1224,435,59
49,99,559,518,576,632
1,24,146,804,207,125
1,79,128,475,531,91
3,263,49,189,146,543
39,5,128,201,178,562
1,279,113,362,3,61
7,48,237,173,202,288
9,99,14,26,540,144
40,15,52,94,1061,10
4,55,233,128,868,42
35,43,1,787,204,562
61,185,161,82,231,180
12,109,490,555,12,421
96,19,44,116,875,376
6,7,2,487,102,120
19,109,226,59,50,21
4,24,472,104,866,89
23,43,104,44,441,84
10,31,26,15,674,877
0,110,140,12,16,62
1,6,253,75,20,369
2,94,305,360,95,219
6,10,211,227,14,277
1,115,41,54,101,206
22,26,252,94,53,95
23,86,0,97,810,41
16,170,124,58,902,1240
1,342,401,72,65,143
7,7,25,20,404,960
5,19,13,273,446,315
2,52,2,166,177,166
2,104,172,757,629,346
34,28,13,238,407,391
9,76,154,7,1140,502
60,4,68,293,177,463
6,75,18,207,213,201
2,251,88,95,300,12
1,43,9,402,189,365
45,129,213,33,506,262
41,26,170,155,148,127
7,11,67,0,78,87
5,427,54,359,326,3
6,2,8,424,195,918
4,32,10,14,493,152
3,7,185,862,654,1176
85,43,71,501,62,640
11,246,72,52,279,269
2,7,25,54,336,31
6,79,145,56,64,293
19,1,20,3,424,210
14,6,345,168,479,171
9,43,379,994,994,945
0,341,8,5,701,521
19,359,292,401,154,481
18,18,677,288,273,1
2,16,19,71,78,30
0,140,78,49,493,132
2,16,139,741,322,447
4,40,49,40,65,32
1,97,205,49,467,84
10,54,46,27,207,236
6,36,96,29,11,189
11,65,148,342,177,586
3,546,169,50,840,255
2,148,110,94,380,1008
24,370,495,400,75,83
5,41,357,134,1076,501
32,50,13,84,46,640
13,224,29,277,10,311
6,26,932,234,28,746
54,220,140,216,354,1491
19,56,88,381,498,222
25,89,62,669,60,62
5,6,38,145,544,382
15,2,824,92,840,1139
2,98,25,457,77,1407
52,15,139,970,15,101
7,28,12,1006,331,68
1,49,152,112,101,80
4,11,101,78,260,447
0,89,47,475,11,1161
2,24,79,462,461,1
3,28,24,14,207,829
1,32,614,233,12,35
5,105,97,429,318,1018
6,11,360,1057,2,926
2,7,124,310,623,501
2,16,239,97,92,463
3,19,130,3,394,566
2,132,59,88,230,108
34,285,129,484,304,820
4,15,274,315,989,242
6,22,170,338,245,577
81,107,228,210,44,220
2,11,183,22,800,448
3,117,34,36,8,64
79,90,126,247,333,132
2,18,490,509,452,935
11,46,19,128,687,125
4,17,657,126,611,863
32,21,44,34,445,871
1,248,41,21,645,930
12,29,152,418,60,52
3,71,839,258,80,380
2,43,12,106,45,467
1,17,124,588,19,687
48,120,11,44,387,94
7,12,115,127,16,110
1,288,188,220,93,162
6,51,917,191,774,31
4,4,89,1,155,192
77,30,52,377,130,174
92,139,1311,671,914,405
1,48,135,9,2,779
2,181,679,300,34,406
0,29,13,159,78,544
7,14,16,216,640,1079
5,78,217,26,386,175
20,317,3,82,328,377
3,283,558,698,295,641
5,389,22,85,196,665
1,3,153,133,198,5
2,34,514,101,826,193
4,405,243,179,89,646
3,85,26,130,120,140
93,230,2,581,14,1052
3,279,682,67,72,497
2,7,66,121,1423,106
5,382,87,107,355,4
1,57,33,18,645,256
3,4,244,208,45,31
2,44,23,3,613,5
9,245,132,680,658,204
3,76,152,681,591,1129
1,4,146,384,349,174
12,60,165,258,494,1237
125,329,132,455,308,167
2,475,491,319,314,167
3,27,7,99,864,754
21,235,105,20,266,6
4,69,91,694,309,1243
2,2,83,99,221,806
2,79,102,106,167,4
2,229,90,300,662,920
12,115,2,38,115,560
33,24,0,385,114,114
9,97,198,40,294,186
33,47,103,20,409,41
4,109,242,171,36,769
2,112,62,176,204,83
5,62,54,121,85,166
10,14,3,110,477,50
3,318,234,174,519,285
1,60,29,477,23,475
3,169,962,393,638,1476
16,192,194,70,731,242
4,77,148,855,425,207
14,176,95,318,413,1200
7,86,274,60,100,1235
14,32,46,186,185,999
9,185,224,74,317,1359
19,21,391,123,163,775
67,119,50,20,189,482
37,196,256,352,437,232
3,69,510,533,97,970
2,20,294,7,377,216
59,1365,4,126,1463,1615
44,96,842,360,507,419
26,227,101,3,647,465
0,114,11,126,60,94
67,421,38,103,805,1095
21,260,711,271,351,36
0,80,63,406,556,469
26,196,94,300,271,688
7,10,208,347,21,550
1,482,12,259,1431,255
2,491,84,924,879,290
23,652,413,93,179,274
1,8,6,399,662,871
5,32,39,18,1034,22
0,63,36,1054,37,18
6,3,62,138,85,3
4,184,316,386,359,1007
3,114,53,263,172,187
1,60,190,38,398,812
2,57,294,277,237,478
9,78,46,309,13,193
6,68,378,44,525,41
29,62,425,73,19,320
34,232,84,284,331,456
0,8,62,154,303,227
2,69,21,138,25,135
8,297,104,74,437,652
1,6,43,10,93,149
161,19,172,129,894,551
3,46,408,686,105,221
51,60,0,162,18,547
5,4,25,830,87,51
5,326,138,415,24,49
5,130,13,47,11,126
30,98,13,185,440,281
