holdout_proportion,NNDR,type
0.05,0.3015589790404034,Avatar
0.0736842105263158,0.3473185683985365,Avatar
0.09736842105263158,0.40248173765911877,Avatar
0.12105263157894737,0.4446610724221457,Avatar
0.14473684210526316,0.5196971086598218,Avatar
0.16842105263157897,0.57641355855449,Avatar
0.19210526315789472,0.6173547878713384,Avatar
0.21578947368421053,0.6470752464328262,Avatar
0.23947368421052634,0.6685747452602138,Avatar
0.2631578947368421,0.6946346073449942,Avatar
0.2868421052631579,0.7134540044647115,Avatar
0.3105263157894737,0.7330893678263156,Avatar
0.33421052631578946,0.7534971559223609,Avatar
0.35789473684210527,0.7722682358165323,Avatar
0.3815789473684211,0.7909577662830485,Avatar
0.4052631578947368,0.8035157420594349,Avatar
0.42894736842105263,0.8187576775953705,Avatar
0.45263157894736844,0.8327531915145878,Avatar
0.4763157894736842,0.8429657856657706,Avatar
0.5,0.8531072325264482,Avatar
0.05,0.4666463313085061,Synthpop
0.0736842105263158,0.5104629512126814,Synthpop
0.09736842105263158,0.5513818757298943,Synthpop
0.12105263157894737,0.59159070719697,Synthpop
0.14473684210526316,0.6124512382077749,Synthpop
0.16842105263157897,0.633045658097086,Synthpop
0.19210526315789472,0.657150523274537,Synthpop
0.21578947368421053,0.6779399537266911,Synthpop
0.23947368421052634,0.7020126352148355,Synthpop
0.2631578947368421,0.7193973598899993,Synthpop
0.2868421052631579,0.7339775686247416,Synthpop
0.3105263157894737,0.7547392691008901,Synthpop
0.33421052631578946,0.7677693635145402,Synthpop
0.35789473684210527,0.7798560936229119,Synthpop
0.3815789473684211,0.790640461371105,Synthpop
0.4052631578947368,0.8029114120036154,Synthpop
0.42894736842105263,0.8150306506490755,Synthpop
0.45263157894736844,0.8259655773074264,Synthpop
0.4763157894736842,0.8357906814082079,Synthpop
0.5,0.8487465116361319,Synthpop
0.05,0.6441531139262066,CTGAN
0.0736842105263158,0.6897053279722286,CTGAN
0.09736842105263158,0.7167117645582686,CTGAN
0.12105263157894737,0.7416990621336861,CTGAN
0.14473684210526316,0.7608945002431398,CTGAN
0.16842105263157897,0.7776928553321591,CTGAN
0.19210526315789472,0.7904471916785839,CTGAN
0.21578947368421053,0.8043739658918956,CTGAN
0.23947368421052634,0.8215087144917544,CTGAN
0.2631578947368421,0.8336050303967419,CTGAN
0.2868421052631579,0.841472291946271,CTGAN
0.3105263157894737,0.8519018310500489,CTGAN
0.33421052631578946,0.8617733763792523,CTGAN
0.35789473684210527,0.8687762479621413,CTGAN
0.3815789473684211,0.8748881438314242,CTGAN
0.4052631578947368,0.8824123773568693,CTGAN
0.42894736842105263,0.8887528578481806,CTGAN
0.45263157894736844,0.8942094697056903,CTGAN
0.4763157894736842,0.9018373395192443,CTGAN
0.5,0.9070312619775647,CTGAN
