acc,sens,spec,ppv,npv,auc,test_type,k,iter_k
0.9609756097560975,97.65625,93.5064935064935,96.15384615384616,96.0,0.9855384615384616,avatar,4,1
0.9414634146341463,97.63779527559055,88.46153846153845,93.23308270676691,95.83333333333334,0.9760860484544694,original,4,1
0.975609756097561,99.21875,94.8051948051948,96.94656488549617,98.64864864864865,0.9870022694450176,avatar,4,2
0.9512195121951219,98.4251968503937,89.74358974358975,93.98496240601504,97.22222222222221,0.9737886382623224,original,4,2
0.9658536585365853,100.0,91.56626506024097,94.57364341085271,100.0,0.9911260709914321,avatar,4,3
0.9512195121951219,99.2,88.75,93.23308270676691,98.61111111111111,0.9708646616541353,original,4,3
0.975609756097561,97.6923076923077,97.33333333333334,98.44961240310077,96.05263157894737,0.9982660138718891,avatar,4,4
0.9560975609756097,97.6923076923077,92.0,95.48872180451127,95.83333333333334,0.992376775271512,original,4,4
0.9853658536585366,100.0,96.05263157894737,97.72727272727273,100.0,0.9976131174761312,avatar,4,5
0.9560975609756097,98.4375,90.9090909090909,94.73684210526315,97.22222222222221,0.9881996658312449,original,4,5
0.9853658536585366,100.0,96.1038961038961,97.70992366412213,100.0,0.9918506292552094,avatar,4,6
0.9560975609756097,98.4375,90.9090909090909,94.73684210526315,97.22222222222221,0.9867376775271511,original,4,6
0.9609756097560975,100.0,90.36144578313254,93.84615384615384,100.0,0.9983589743589744,avatar,4,7
0.9512195121951219,99.2,88.75,93.23308270676691,98.61111111111111,0.9759816207184628,original,4,7
0.9658536585365853,97.67441860465115,94.73684210526315,96.92307692307692,96.0,0.997948717948718,avatar,4,8
0.9463414634146341,97.65625,89.6103896103896,93.98496240601504,95.83333333333334,0.9918546365914788,original,4,8
0.9707317073170731,99.21875,93.5064935064935,96.21212121212122,98.63013698630137,0.9968866749688667,avatar,4,9
0.9560975609756097,98.4375,90.9090909090909,94.73684210526315,97.22222222222221,0.9815162907268171,original,4,9
0.9804878048780488,98.46153846153847,97.33333333333334,98.46153846153847,97.33333333333334,0.9991794871794871,avatar,4,10
0.9560975609756097,98.4375,90.9090909090909,94.73684210526315,97.22222222222221,0.9723266499582289,original,4,10
0.9609756097560975,96.96969696969697,94.52054794520548,96.96969696969697,94.52054794520548,0.9951224574512246,avatar,34,1
0.9560975609756097,96.26865671641791,94.36619718309859,96.99248120300751,93.05555555555556,0.993734335839599,original,34,1
0.9512195121951219,98.4126984126984,89.87341772151899,93.93939393939394,97.26027397260275,0.9850041511000416,avatar,34,2
0.9560975609756097,99.20634920634922,89.87341772151899,93.98496240601504,98.61111111111111,0.9884085213032582,original,34,2
0.9707317073170731,97.6923076923077,96.0,97.6923076923077,96.0,0.9925128205128204,avatar,34,3
0.9560975609756097,96.96969696969697,93.15068493150685,96.2406015037594,94.44444444444444,0.9945697577276524,original,34,3
0.975609756097561,98.46153846153847,96.0,97.70992366412213,97.2972972972973,0.9949453270063958,avatar,34,4
0.9658536585365853,97.72727272727273,94.52054794520548,96.99248120300751,95.83333333333334,0.9864243943191312,original,34,4
0.9804878048780488,98.47328244274809,97.2972972972973,98.47328244274809,97.2972972972973,0.9922632556220342,avatar,34,5
0.9609756097560975,96.99248120300751,94.44444444444444,96.99248120300751,94.44444444444444,0.9894527986633249,original,34,5
0.975609756097561,100.0,93.58974358974359,96.21212121212122,100.0,0.995848899958489,avatar,34,6
0.9560975609756097,98.4375,90.9090909090909,94.73684210526315,97.22222222222221,0.9800543024227235,original,34,6
0.9804878048780488,99.23664122137404,95.94594594594594,97.74436090225564,98.61111111111111,0.9939954051796157,avatar,34,7
0.9560975609756097,97.6923076923077,92.0,95.48872180451127,95.83333333333334,0.9938387635756056,original,34,7
0.9804878048780488,99.21875,96.1038961038961,97.6923076923077,98.66666666666667,0.9892307692307692,avatar,34,8
0.9560975609756097,99.20634920634922,89.87341772151899,93.98496240601504,98.61111111111111,0.9777568922305764,original,34,8
0.9804878048780488,100.0,94.73684210526315,96.99248120300751,100.0,0.9891395154553049,avatar,34,9
0.9560975609756097,96.96969696969697,93.15068493150685,96.2406015037594,94.44444444444444,0.9885129490392649,original,34,9
0.9609756097560975,97.74436090225564,93.05555555555556,96.29629629629629,95.71428571428572,0.9878306878306878,avatar,34,10
0.9560975609756097,96.26865671641791,94.36619718309859,96.99248120300751,93.05555555555556,0.9941520467836258,original,34,10
0.975609756097561,97.70992366412213,97.2972972972973,98.46153846153847,96.0,0.9895384615384616,avatar,64,1
0.9560975609756097,97.6923076923077,92.0,95.48872180451127,95.83333333333334,0.9857978279030911,original,64,1
0.9804878048780488,98.44961240310077,97.36842105263158,98.44961240310077,97.36842105263158,0.998470012239902,avatar,64,2
0.9512195121951219,97.67441860465115,90.78947368421053,94.73684210526315,95.83333333333334,0.9875730994152047,original,64,2
0.975609756097561,99.2,95.0,96.875,98.7012987012987,0.9993912337662337,avatar,64,3
0.9560975609756097,98.4375,90.9090909090909,94.73684210526315,97.22222222222221,0.9860066833751044,original,64,3
0.9804878048780488,99.2248062015504,96.05263157894737,97.70992366412213,98.64864864864865,0.989684340829379,avatar,64,4
0.9512195121951219,97.67441860465115,90.78947368421053,94.73684210526315,95.83333333333334,0.9878863826232247,original,64,4
0.9804878048780488,99.2248062015504,96.05263157894737,97.70992366412213,98.64864864864865,0.9942232308644522,avatar,64,5
0.9560975609756097,96.96969696969697,93.15068493150685,96.2406015037594,94.44444444444444,0.994674185463659,original,64,5
0.9658536585365853,96.21212121212122,97.26027397260275,98.44961240310077,93.42105263157895,0.9970420236638108,avatar,64,6
