dcr_values,nndr_values,type,round
1.9502635,0.7045762,Reference,round_0
3.974345,0.8220509,Reference,round_0
3.75433,0.9486905,Reference,round_0
2.977323,0.9303749,Reference,round_0
3.141565,0.8597608,Reference,round_0
3.1412098,0.9956417,Reference,round_0
1.9991955,0.9864772,Reference,round_0
2.3857148,0.8679779,Reference,round_0
3.8330913,0.99503565,Reference,round_0
3.5148535,0.97278285,Reference,round_0
3.3653002,0.859642,Reference,round_0
1.6974274,0.8551749,Reference,round_0
2.8270936,0.8125319,Reference,round_0
1.5189613,0.5895538,Reference,round_0
4.776527,0.9295242,Reference,round_0
2.5995543,0.81381035,Reference,round_0
3.0708485,0.76248527,Reference,round_0
1.8266324,0.760001,Reference,round_0
4.8786693,0.89462197,Reference,round_0
1.3022951,0.6000319,Reference,round_0
3.0738153,0.9559222,Reference,round_0
3.3127096,0.8846594,Reference,round_0
2.9520786,0.936452,Reference,round_0
3.025868,0.9638409,Reference,round_0
2.1016886,0.5540814,Reference,round_0
2.6639228,0.6787629,Reference,round_0
1.4044789,0.692319,Reference,round_0
3.192446,0.9843387,Reference,round_0
2.2432914,0.85063106,Reference,round_0
3.153775,0.96266484,Reference,round_0
3.7522388,0.9523665,Reference,round_0
3.3548105,0.6709594,Reference,round_0
1.8051926,0.6742931,Reference,round_0
5.966541,0.8654821,Reference,round_0
2.0174844,0.7724669,Reference,round_0
1.7149472,0.8994089,Reference,round_0
1.8827062,0.9350849,Reference,round_0
2.7184174,0.9811591,Reference,round_0
2.841297,0.9001557,Reference,round_0
3.9654114,0.9225419,Reference,round_0
2.9030375,0.9576671,Reference,round_0
1.388849,0.53729033,Reference,round_0
1.4232318,0.8193339,Reference,round_0
1.4876262,0.44208255,Reference,round_0
2.3380365,0.77348566,Reference,round_0
1.2715008,0.6857924,Reference,round_0
4.372492,0.8057804,Reference,round_0
1.2391196,0.7216164,Reference,round_0
3.2514398,0.9929412,Reference,round_0
1.2643901,0.63716495,Reference,round_0
2.6696174,0.7377244,Reference,round_0
1.4367567,0.5668516,Reference,round_0
3.56526,0.91779363,Reference,round_0
5.556387,0.96846306,Reference,round_0
3.2192874,0.8201507,Reference,round_0
2.199812,0.8665249,Reference,round_0
2.1179712,0.7447498,Reference,round_0
2.9364188,0.985707,Reference,round_0
1.9718652,0.973139,Reference,round_0
2.6995897,0.8648229,Reference,round_0
2.721936,0.8181539,Reference,round_0
2.3943906,0.95862246,Reference,round_0
3.6650994,0.95214206,Reference,round_0
3.1024756,0.91136587,Reference,round_0
4.042709,0.97378004,Reference,round_0
1.283701,0.42108536,Reference,round_0
2.9470565,0.9016122,Reference,round_0
3.3914096,0.84461576,Reference,round_0
2.8956084,0.88103074,Reference,round_0
2.487711,0.768454,Reference,round_0
3.7532806,0.9883331,Reference,round_0
3.1332972,0.85666263,Reference,round_0
1.9323736,0.9171399,Reference,round_0
3.0419273,0.88464004,Reference,round_0
2.8175268,0.9115223,Reference,round_0
1.4775143,0.8328545,Reference,round_0
3.6805794,0.91884094,Reference,round_0
1.4408371,0.49769768,Reference,round_0
1.2525975,0.995259,Reference,round_0
2.4719434,0.92200464,Reference,round_0
3.6714406,0.9408881,Reference,round_0
3.8694093,0.8938641,Reference,round_0
3.337426,0.9538551,Reference,round_0
2.828891,0.7163011,Reference,round_0
3.4722857,0.892616,Reference,round_0
3.1394029,0.9602379,Reference,round_0
2.6449635,0.9694578,Reference,round_0
4.014159,0.9235886,Reference,round_0
2.3661294,0.90837246,Reference,round_0
2.6339424,0.93456125,Reference,round_0
2.3840609,0.63838047,Reference,round_0
3.6470795,0.86605424,Reference,round_0
2.8510768,0.91256815,Reference,round_0
3.7882128,0.85198176,Reference,round_0
3.799615,0.8789291,Reference,round_0
4.184507,0.9996587,Reference,round_0
3.39814,0.9788267,Reference,round_0
1.9553913,0.8498074,Reference,round_0
3.3196318,0.84866196,Reference,round_0
2.4419374,0.67372704,Reference,round_0
2.8014255,0.85121703,Reference,round_0
4.024321,0.83322215,Reference,round_0
2.236653,0.6653714,Reference,round_0
1.8708174,0.8306536,Reference,round_0
1.2182225,0.66568136,Reference,round_0
3.0190725,0.9078468,Reference,round_0
10.661271,0.9884743,Reference,round_0
1.8168699,0.9715195,Reference,round_0
2.9533412,0.9523131,Reference,round_0
3.5364196,0.74304485,Reference,round_0
5.170299,0.71663576,Reference,round_0
2.1834443,0.89529616,Reference,round_0
2.3979325,0.85788363,Reference,round_0
2.651021,0.908874,Reference,round_0
3.8071346,0.88610804,Reference,round_0
1.2441912,0.84227395,Reference,round_0
3.3077993,0.88378894,Reference,round_0
3.9579113,0.9155095,Reference,round_0
1.7840549,0.77462095,Reference,round_0
1.1809915,0.52071387,Reference,round_0
3.8177965,0.99548554,Reference,round_0
1.8799638,0.9091368,Reference,round_0
2.4100645,0.88193715,Reference,round_0
3.5442147,0.91166043,Reference,round_0
3.4261057,0.88277274,Reference,round_0
2.7414446,0.7073894,Reference,round_0
2.8670948,0.9108887,Reference,round_0
2.5041556,0.86167514,Reference,round_0
