0,perf,type
0.9609756097560975,acc,Original
98.44961240310077,sens,Original
92.10526315789474,spec,Original
95.48872180451127,ppv,Original
97.22222222222221,npv,Original
0.9918940254539154,auc,Original
0.9609756097560975,acc,Avatar
95.62043795620438,sens,Avatar
97.05882352941177,spec,Avatar
98.49624060150376,ppv,Avatar
91.66666666666666,npv,Avatar
0.9956797235023042,auc,Avatar
0.9609756097560975,acc,Original
97.70992366412213,sens,Original
93.24324324324324,spec,Original
96.2406015037594,ppv,Original
95.83333333333334,npv,Original
0.996303213508674,auc,Original
0.9658536585365853,acc,Avatar
97.6923076923077,sens,Avatar
94.66666666666667,spec,Avatar
96.94656488549617,ppv,Avatar
95.94594594594594,npv,Avatar
0.9998841519925857,auc,Avatar
0.9658536585365853,acc,Original
98.46153846153847,sens,Original
93.33333333333333,spec,Original
96.2406015037594,ppv,Original
97.22222222222221,npv,Original
0.9996726803627471,auc,Original
0.9512195121951219,acc,Avatar
98.46153846153847,sens,Avatar
89.33333333333333,spec,Avatar
94.11764705882352,ppv,Avatar
97.10144927536231,npv,Avatar
0.9990570889765129,auc,Avatar
0.9707317073170731,acc,Original
97.03703703703704,sens,Original
97.14285714285714,spec,Original
98.49624060150376,ppv,Original
94.44444444444444,npv,Original
0.9922213450911681,auc,Original
0.9658536585365853,acc,Avatar
98.46153846153847,sens,Avatar
93.33333333333333,spec,Avatar
96.2406015037594,ppv,Avatar
97.22222222222221,npv,Avatar
0.9934235791090629,auc,Avatar
0.9560975609756097,acc,Original
96.26865671641791,sens,Original
94.36619718309859,spec,Original
96.99248120300751,ppv,Original
93.05555555555556,npv,Original
0.9974006969982864,auc,Original
0.975609756097561,acc,Avatar
97.03703703703704,sens,Avatar
98.57142857142858,spec,Avatar
99.24242424242425,ppv,Avatar
94.52054794520548,npv,Avatar
0.9978627953097021,auc,Avatar
0.9707317073170731,acc,Original
97.03703703703704,sens,Original
97.14285714285714,spec,Original
98.49624060150376,ppv,Original
94.44444444444444,npv,Original
0.9927989679804378,auc,Original
0.975609756097561,acc,Avatar
97.08029197080292,sens,Avatar
98.52941176470588,spec,Avatar
99.25373134328358,ppv,Avatar
94.36619718309859,npv,Avatar
