,0,perf,type
0,0.9609756097560975,acc,Original
1,98.44961240310077,sens,Original
2,92.10526315789474,spec,Original
3,95.48872180451127,ppv,Original
4,97.22222222222221,npv,Original
5,0.9918940254539154,auc,Original
6,0.9658536585365853,acc,Synthpop
7,98.38709677419355,sens,Synthpop
8,93.82716049382715,spec,Synthpop
9,96.06299212598425,ppv,Synthpop
10,97.43589743589743,npv,Synthpop
11,0.9974320098550175,auc,Synthpop
12,0.9609756097560975,acc,Original
13,97.70992366412213,sens,Original
14,93.24324324324324,spec,Original
15,96.2406015037594,ppv,Original
16,95.83333333333334,npv,Original
17,0.996303213508674,auc,Original
18,0.9707317073170731,acc,Synthpop
19,96.35036496350365,sens,Synthpop
20,98.52941176470588,spec,Synthpop
21,99.24812030075188,ppv,Synthpop
22,93.05555555555556,npv,Synthpop
23,0.9835111451579754,auc,Synthpop
24,0.9658536585365853,acc,Original
25,98.46153846153847,sens,Original
26,93.33333333333333,spec,Original
27,96.2406015037594,ppv,Original
28,97.22222222222221,npv,Original
29,0.9996726803627471,auc,Original
30,0.9707317073170731,acc,Synthpop
31,98.46153846153847,sens,Synthpop
32,94.66666666666667,spec,Synthpop
33,96.96969696969697,ppv,Synthpop
34,97.26027397260275,npv,Synthpop
35,0.9935205992509363,auc,Synthpop
36,0.9707317073170731,acc,Original
37,97.03703703703704,sens,Original
38,97.14285714285714,spec,Original
39,98.49624060150376,ppv,Original
40,94.44444444444444,npv,Original
41,0.9922213450911681,auc,Original
42,0.9414634146341463,acc,Synthpop
43,96.12403100775194,sens,Synthpop
44,90.78947368421053,spec,Synthpop
45,94.65648854961832,ppv,Synthpop
46,93.24324324324324,npv,Synthpop
47,0.9867015785423354,auc,Synthpop
48,0.9560975609756097,acc,Original
49,96.26865671641791,sens,Original
50,94.36619718309859,spec,Original
51,96.99248120300751,ppv,Original
52,93.05555555555556,npv,Original
53,0.9974392051909043,auc,Original
54,0.9658536585365853,acc,Synthpop
55,99.19354838709677,sens,Synthpop
56,92.5925925925926,spec,Synthpop
57,95.34883720930233,ppv,Synthpop
58,98.68421052631578,npv,Synthpop
59,0.9942668552569542,auc,Synthpop
60,0.9707317073170731,acc,Original
61,97.03703703703704,sens,Original
62,97.14285714285714,spec,Original
63,98.49624060150376,ppv,Original
64,94.44444444444444,npv,Original
65,0.9927989679804378,auc,Original
66,0.9658536585365853,acc,Synthpop
67,96.09375,sens,Synthpop
68,97.40259740259741,spec,Synthpop
69,98.4,ppv,Synthpop
70,93.75,npv,Synthpop
71,0.9891993828218755,auc,Synthpop
72,0.9365853658536586,acc,Original
73,96.15384615384616,sens,Original
74,89.33333333333333,spec,Original
75,93.98496240601504,ppv,Original
76,93.05555555555556,npv,Original
77,0.9970926314573425,auc,Original
78,0.975609756097561,acc,Synthpop
79,99.20634920634922,sens,Synthpop
80,94.9367088607595,spec,Synthpop
81,96.89922480620154,ppv,Synthpop
82,98.68421052631578,npv,Synthpop
83,0.9953323903818954,auc,Synthpop
84,0.9658536585365853,acc,Original
85,99.21875,sens,Original
86,92.20779220779221,spec,Original
87,95.48872180451127,ppv,Original
88,98.61111111111111,npv,Original
89,0.99980745903691,auc,Original
90,0.9560975609756097,acc,Synthpop
91,98.36065573770492,sens,Synthpop
92,91.56626506024097,spec,Synthpop
93,94.48818897637796,ppv,Synthpop
94,97.43589743589743,npv,Synthpop
95,0.9980953283426512,auc,Synthpop
96,0.9902439024390244,acc,Original
97,100.0,sens,Original
98,97.2972972972973,spec,Original
99,98.49624060150376,ppv,Original
100,100.0,npv,Original
101,0.9930877794250728,auc,Original
102,0.975609756097561,acc,Synthpop
103,97.54098360655738,sens,Synthpop
104,97.59036144578313,spec,Synthpop
105,98.34710743801654,ppv,Synthpop
106,96.42857142857143,npv,Synthpop
107,0.9964187380865279,auc,Synthpop
108,0.9804878048780488,acc,Original
109,99.23664122137404,sens,Original
110,95.94594594594594,spec,Original
111,97.74436090225564,ppv,Original
112,98.61111111111111,npv,Original
113,0.9933380826770896,auc,Original
114,0.9658536585365853,acc,Synthpop
115,97.85714285714285,sens,Synthpop
116,93.84615384615384,spec,Synthpop
117,97.16312056737588,ppv,Synthpop
118,95.3125,npv,Synthpop
119,0.9933109138688276,auc,Synthpop
120,0.9707317073170731,acc,Original
121,97.74436090225564,sens,Original
122,95.83333333333334,spec,Original
123,97.74436090225564,ppv,Original
124,95.83333333333334,npv,Original
125,0.9959951479677303,auc,Original
126,0.9414634146341463,acc,Synthpop
127,99.20634920634922,sens,Synthpop
128,86.07594936708861,spec,Synthpop
129,91.91176470588235,ppv,Synthpop
130,98.55072463768117,npv,Synthpop
131,0.9836092961092961,auc,Synthpop
132,0.9658536585365853,acc,Original
133,100.0,sens,Original
134,91.13924050632912,spec,Original
135,94.73684210526315,ppv,Original
136,100.0,npv,Original
137,0.9993838689181123,auc,Original
138,0.9609756097560975,acc,Synthpop
139,99.17355371900827,sens,Synthpop
140,91.66666666666666,spec,Synthpop
141,94.48818897637796,ppv,Synthpop
142,98.71794871794873,npv,Synthpop
143,0.9740168672415427,auc,Synthpop
144,0.9658536585365853,acc,Original
145,97.72727272727273,sens,Original
146,94.52054794520548,spec,Original
147,96.99248120300751,ppv,Original
148,95.83333333333334,npv,Original
149,0.9933573367733985,auc,Original
150,0.9414634146341463,acc,Synthpop
151,97.67441860465115,sens,Synthpop
152,88.1578947368421,spec,Synthpop
153,93.33333333333333,ppv,Synthpop
154,95.71428571428572,npv,Synthpop
155,0.9985211228305151,auc,Synthpop
156,0.9707317073170731,acc,Original
157,99.2248062015504,sens,Original
158,93.42105263157895,spec,Original
159,96.2406015037594,ppv,Original
160,98.61111111111111,npv,Original
161,0.9966497872422357,auc,Original
162,0.9560975609756097,acc,Synthpop
163,96.875,sens,Synthpop
164,93.5064935064935,spec,Synthpop
165,96.12403100775194,ppv,Synthpop
166,94.73684210526315,npv,Synthpop
167,0.9930693069306931,auc,Synthpop
168,0.9707317073170731,acc,Original
169,97.74436090225564,sens,Original
170,95.83333333333334,spec,Original
171,97.74436090225564,ppv,Original
172,95.83333333333334,npv,Original
173,0.9959566397751121,auc,Original
174,0.9414634146341463,acc,Synthpop
175,95.8041958041958,sens,Synthpop
176,90.32258064516128,spec,Synthpop
177,95.8041958041958,ppv,Synthpop
178,90.32258064516128,npv,Synthpop
179,0.988896212079603,auc,Synthpop
180,0.9707317073170731,acc,Original
181,97.74436090225564,sens,Original
182,95.83333333333334,spec,Original
183,97.74436090225564,ppv,Original
184,95.83333333333334,npv,Original
185,0.9936846564106513,auc,Original
186,0.9463414634146341,acc,Synthpop
187,96.875,sens,Synthpop
188,90.9090909090909,spec,Synthpop
189,94.65648854961832,ppv,Synthpop
190,94.5945945945946,npv,Synthpop
191,0.9982825609550087,auc,Synthpop
192,0.9609756097560975,acc,Original
193,98.44961240310077,sens,Original
194,92.10526315789474,spec,Original
195,95.48872180451127,ppv,Original
196,97.22222222222221,npv,Original
197,0.9966690413385447,auc,Original
198,0.9609756097560975,acc,Synthpop
199,98.4375,sens,Synthpop
200,92.20779220779221,spec,Synthpop
201,95.45454545454545,ppv,Synthpop
202,97.26027397260275,npv,Synthpop
203,0.995121722846442,auc,Synthpop
204,0.9560975609756097,acc,Original
205,96.96969696969697,sens,Original
206,93.15068493150685,spec,Original
207,96.2406015037594,ppv,Original
208,94.44444444444444,npv,Original
209,0.9979398116949381,auc,Original
210,0.9658536585365853,acc,Synthpop
211,97.63779527559055,sens,Synthpop
