"local_cloaking_4","local_cloaking_50","local_cloaking_100","local_cloaking_150","local_cloaking_200","local_cloaking_300"
35,90,75,40,171,165
9,9,9,17,10,19
2,29,2,2,77,203
44,66,138,63,35,70
82,308,306,320,322,126
20,21,20,25,30,35
22,24,24,26,27,23
26,24,27,27,28,32
109,194,1,103,54,156
11,11,15,18,20,286
3,3,297,243,287,200
93,34,58,119,10,224
131,62,57,133,122,588
58,63,130,110,1,24
29,25,55,109,7,7
11,49,59,4,85,41
2,2,4,226,220,162
5,125,16,82,44,97
64,157,3,45,90,151
30,30,31,31,36,30
26,24,27,27,28,32
36,19,104,1,43,8
5,8,48,132,180,87
3,22,101,29,57,63
112,15,249,10,139,31
84,53,35,144,101,3
163,32,118,160,79,143
26,24,27,27,28,32
12,7,84,26,178,129
26,24,27,27,28,32
26,52,25,146,247,45
189,119,41,157,27,3
26,24,27,27,28,32
26,24,27,27,28,32
52,148,36,137,17,254
33,90,1,43,306,230
2,2,2,4,273,212
30,30,31,31,36,30
34,227,10,29,107,89
30,30,31,31,36,30
6,5,6,5,52,2
54,3,77,47,104,230
14,43,35,25,21,119
229,427,340,108,317,47
12,8,21,76,7,84
149,38,20,58,187,137
11,11,15,18,20,166
135,42,187,76,60,70
26,24,27,27,28,32
14,20,86,5,64,69
17,44,57,118,4,123
22,24,24,26,27,23
50,43,233,195,139,320
57,13,178,66,5,134
6,37,150,132,35,144
193,91,63,433,31,187
47,79,32,278,213,260
9,12,62,82,7,270
238,173,50,88,123,250
30,30,31,31,36,30
26,12,22,2,156,119
26,24,27,27,28,32
6,5,6,5,214,2
99,24,38,22,1,55
94,94,72,162,147,26
26,24,27,27,28,32
11,10,10,12,14,14
30,30,31,31,36,30
5,94,71,126,70,13
30,30,31,31,36,30
12,29,2,24,204,344
339,216,355,145,204,404
28,28,47,85,77,122
112,171,57,20,81,92
6,5,4,4,29,381
9,10,10,9,10,13
29,2,48,182,654,4
3,100,64,162,38,131
22,24,24,26,27,23
220,120,321,147,31,266
15,128,344,13,24,159
101,100,73,74,82,83
228,140,7,119,109,26
82,65,14,6,120,27
14,50,1,220,42,1
12,172,166,191,7,143
43,6,5,35,20,85
21,58,64,13,30,33
9,10,10,9,10,13
8,8,8,8,8,9
33,3,112,97,49,221
4,75,43,33,21,22
3,5,4,326,289,166
303,26,319,325,369,32
15,55,58,93,393,175
3,5,4,228,160,419
4,4,4,1,22,4
53,141,268,80,354,48
5,3,4,4,131,4
30,30,31,31,36,30
22,24,24,26,27,23
6,5,6,5,2,49
36,76,107,19,128,6
14,4,28,17,27,22
30,30,31,31,36,30
91,72,92,29,201,143
135,85,180,81,245,315
11,10,10,12,14,14
11,10,10,12,14,139
397,4,312,12,109,480
7,56,173,89,209,33
18,39,27,113,2,89
71,161,72,245,87,208
204,15,16,140,145,11
308,313,191,320,225,356
213,111,204,232,159,14
20,21,20,25,30,35
4,4,11,4,128,3
5,213,12,323,287,420
20,21,20,25,30,35
11,11,15,18,20,10
10,13,14,12,8,179
103,211,123,139,214,191
98,324,12,19,9,395
43,177,41,51,80,85
12,14,19,15,15,283
8,6,5,153,98,199
276,163,0,64,109,65
297,17,184,28,10,85
22,24,24,26,27,23
4,3,2,174,153,245
22,24,24,26,27,23
336,144,13,191,16,170
5,3,227,4,36,287
22,24,24,26,27,23
33,2,45,16,102,38
3,4,4,3,78,274
42,32,131,93,91,84
43,421,14,227,148,539
121,8,51,63,199,142
22,24,24,26,27,23
18,26,2,231,16,22
309,46,431,17,5,50
52,62,177,54,67,43
6,87,1,57,224,34
11,29,24,5,32,70
4,3,51,5,120,405
12,14,19,15,15,14
98,3,17,221,188,105
26,26,10,36,6,274
34,130,231,63,50,53
22,24,24,26,27,23
8,8,8,8,8,9
12,203,386,407,22,116
26,12,11,10,32,122
3,3,2,2,4,141
3,325,381,236,193,101
36,63,44,172,9,36
140,217,199,80,59,458
57,63,153,173,222,95
10,13,14,12,8,17
61,385,104,274,148,11
10,11,12,13,11,16
93,76,29,191,142,94
29,0,138,235,349,32
196,83,399,327,181,414
91,34,101,191,14,358
67,118,72,60,34,278
11,10,10,12,14,14
30,30,31,31,36,30
10,11,12,13,11,16
4,4,5,4,3,49
31,220,70,4,249,5
98,96,70,151,123,345
10,11,12,88,11,254
23,12,217,341,291,105
22,26,48,44,84,56
385,400,307,426,340,345
19,1,16,31,34,64
103,91,44,175,16,17
5,1,112,98,9,309
5,5,2,260,70,2
1,192,322,17,63,171
6,5,4,4,292,5
85,83,154,336,410,99
3,2,104,311,1,1
108,250,242,122,345,9
10,13,14,12,225,17
15,50,189,103,66,41
23,42,104,68,91,113
25,180,4,203,63,121
10,13,14,12,8,17
3,2,4,27,1,286
6,5,5,4,3,9
3,2,178,130,337,76
376,307,57,143,352,52
10,13,14,12,8,17
10,11,12,13,11,254
12,14,19,15,15,14
127,185,19,314,53,153
10,13,14,12,8,17
125,200,315,199,108,125
41,161,116,30,113,91
98,338,9,125,268,13
21,1,43,52,2,134
5,20,50,23,73,25
67,80,143,101,107,229
5,5,176,44,108,2
354,71,105,327,406,43
6,5,5,4,236,9
17,128,222,94,59,295
41,36,28,18,97,53
15,22,598,546,28,595
30,30,31,31,36,30
89,142,210,114,18,183
2,2,2,364,371,152
25,47,159,4,53,205
15,332,492,42,245,516
6,5,5,4,3,323
4,4,5,10,3,3
23,240,262,117,20,209
11,14,12,12,15,18
11,14,12,12,15,18
3,4,4,3,3,308
11,14,12,12,15,18
3,2,174,1,222,210
12,11,13,17,17,11
30,30,31,31,36,30
40,156,421,404,199,8
29,80,75,26,108,122
304,90,269,88,272,162
10,11,12,13,11,16
11,10,10,12,14,14
30,30,31,31,36,30
10,11,12,14,14,18
10,11,12,13,11,16
6,5,5,4,148,9
161,139,114,150,23,18
90,86,100,100,7,50
4,4,5,4,57,3
6,5,6,5,2,300
78,199,87,179,246,108
102,111,53,3,82,3
338,282,379,256,380,110
23,277,289,1,10,136
377,43,3,320,1,45
207,20,178,245,189,200
20,21,20,25,30,35
2,4,54,236,48,122
10,13,14,12,296,17
12,11,13,17,17,11
160,200,314,95,145,130
2,2,2,254,49,69
45,48,78,11,46,129
4,3,2,10,43,263
7,7,7,7,153,6
20,21,20,25,30,35
8,8,8,51,8,9
203,135,161,325,219,84
9,9,9,217,10,13
3,4,4,3,34,4
11,14,12,12,15,18
166,498,155,391,313,86
382,49,227,154,92,259
12,14,19,15,15,14
78,73,13,11,21,235
11,14,12,12,15,18
14,216,5,215,44,168
10,11,12,14,189,18
2,145,56,118,46,53
75,9,11,11,6,50
