perf,test,type
99.02439024390246,acc,avatar
98.47328244274809,sens,avatar
100.0,spec,avatar
100.0,ppv,avatar
97.36842105263158,npv,avatar
99.18686443168681,auc,avatar
92.68292682926831,acc,original
94.73684210526315,sens,original
88.88888888888889,spec,original
94.02985074626866,ppv,original
90.14084507042254,npv,original
99.94031230144213,auc,original
